City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
329,Gat,IL,31.61,34.7642,56.8,100,86,16.17,overcast clouds
330,Tautira,PF,-17.7333,-149.15,80.4,75,100,8.46,light rain
331,Xinxiang,CN,35.3089,113.8672,62.58,60,1,6.55,clear sky
332,Kruisfontein,ZA,-34.0033,24.7314,65.88,89,100,7.49,moderate rain
333,Roblin,CA,51.23,-101.3565,-9.6,100,96,3.83,overcast clouds
334,Tual,ID,-5.6667,132.75,84.81,73,96,6.55,overcast clouds
335,Dhidhdhoo,MV,6.8833,73.1,83.62,70,93,5.17,overcast clouds
336,Manacapuru,BR,-3.2997,-60.6206,79.47,85,100,3.76,overcast clouds
337,Xingcheng,CN,40.6167,120.7167,42.31,54,100,7.67,overcast clouds
338,Ouallam,NE,14.3188,2.0866,99.73,10,7,11.56,clear sky
339,Veraval,IN,20.9,70.3667,82.62,50,0,8.43,clear sky
340,Tura,IN,25.5198,90.2201,74.26,28,54,2.26,broken clouds
341,Eyl,SO,7.9803,49.8164,82.99,56,7,19.62,clear sky
342,Moissala,TD,8.3404,17.7663,106.7,11,0,3.53,clear sky
343,Okhotsk,RU,59.3833,143.3,17.89,96,100,4.7,overcast clouds
